id,route_id,stop_id,current_stop_in_route
767,5,1612,16
3372,118,661,2
7918,903,4293,1
522,3,1557,3
3962,125,4028,10
3705,122,1143,9
5028,143,3569,27
8739,931,4256,13
6097,243,29,39
1072,10,3007,32
387,2,1420,12
1378,12,3523,9
2874,107,2793,28
4423,130,629,15
4370,129,178,9
5972,242,1313,10
7806,612,2665,16
577,4,1626,1
8962,937,4619,12
1405,13,1617,11
3780,123,1018,7
5515,149,2173,13
7075,253,1138,15
3328,117,4703,3
5551,151,639,5
7013,251,2116,34
7566,315,874,14
4886,138,1704,1
7383,257,2784,17
3210,115,2747,0
5669,152,883,21
9113,948,3056,2
2263,23,1523,10
7132,253,193,38
697,5,2493,0
1026,9,3458,23
2894,108,2172,2
6784,249,181,14
2526,103,1165,34
5668,152,1137,20
3593,120,4050,7
4492,131,1230,5
6370,246,3102,0
69,A,1178,24
6595,247,386,38
2531,103,1318,3
308,N,1188,12
249,K,509,6
3478,119,3758,14
7629,319,398,4
1010,9,1398,7
6235,245,544,25
9104,947,4428,6
5121,143,637,23
7451,259,3013,23
32,A,284,18
105,D,2594,10
5177,144,5164,17
7920,904,4542,1
5393,148,2886,21
4893,138,64,1
543,3,3772,14
5511,149,1307,9
1077,10,1503,37
3511,119,633,47
6569,247,636,10
103,D,625,8
3956,125,3182,4
3642,121,707,13
4354,129,3801,32
4507,131,4893,0
7222,255,917,21
1018,9,1427,15
3912,125,1818,0
8316,914,3604,23
6998,251,1997,18
2990,111,670,1
4322,129,44,12
6583,247,2877,26
8825,934,4596,11
5013,143,5150,12
3688,122,5173,11
204,D,668,22
565,3,1389,28
5073,143,3891,19
6838,249,3102,37
7460,259,29,32
3107,112,3759,6
1426,13,5246,3
1957,20,2294,27
1938,20,1423,8
1040,10,1684,0
381,2,1437,6
1116,10,2958,26
1923,19,1605,10
2569,104,3927,16
7,A,627,6
253,K,543,10
1479,13,1596,4
2787,107,3235,24
4203,128,4889,6
5564,151,1984,1
6245,245,3526,9
2813,107,91,50
1069,10,1424,29
1078,10,1757,0
7434,259,1213,6
1389,13,1367,10
7378,257,1307,12
5944,241,1174,14
5039,143,3759,38
611,4,1445,5
1387,13,1504,8
6807,249,3103,37
7665,319,2018,40
2911,108,667,10
9074,941,575,25
2585,104,5285,14
6261,245,124,25
7902,903,2035,6
191,D,3216,17
7611,319,274,24
1846,19,1633,4
5675,152,119,4
846,6,1494,27
1825,18,2742,21
3296,116,602,4
5992,242,611,8
1915,19,1447,17
5376,148,138,4
7188,255,3013,13
7847,612,4825,29
8079,907,4709,7
8226,911,1335,9
4308,128,1165,22
3348,117,5344,5
5463,149,2885,15
4250,128,1188,28
7185,255,874,10
5714,206,2577,24
1496,14,5270,14
2448,102,965,8
2194,23,1448,2
1550,14,2818,8
2102,21,1632,19
956,8,1648,21
5183,144,638,23
3324,116,3379,12
7511,310,5223,4
2627,105,629,11
5615,152,670,1
248,K,487,5
6326,245,469,3
6028,243,1145,8
7541,315,5332,4
6556,247,701,38
5756,240,830,4
6754,249,5307,39
124,D,4892,11
4111,127,315,14
4930,142,182,29
5587,151,51,4
6859,249,816,15
2434,102,952,35
1960,20,3903,30
